Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Strength Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,35 Cb5.9-D+1.4W,-38.9,19.2,0.0,0.0,0.0,0.0
,,,,36 Cb5.10-D+1.4W,-38.9,19.2,0.0,0.0,0.0,0.0
,,,,39 Cb5.13-D+1.4W,4.7,42.3,0.0,0.0,0.0,0.0
,,,,40 Cb5.14-D+1.4W,-17.0,15.5,0.0,0.0,0.0,0.0
SUP B/6,180.0000,Span 1 Rh Column (UB 610x229x125),90.0000,1 Cb1-1.4D+1.6I+1.6RI,192.2,94.7,0.0,0.0,0.0,-0.1
,,,,2 Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,198.9,94.8,0.0,0.0,0.0,-0.1
,,,,3 Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,185.5,94.6,0.0,0.0,0.0,-0.1
,,,,4 Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,192.5,95.3,0.0,0.0,0.0,-0.1
,,,,5 Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,192.0,94.1,0.0,0.0,0.0,-0.1
,,,,6 Cb2.1-1.4D+0I+1.05S,202.4,100.3,0.0,0.0,0.0,-0.1
,,,,7 Cb2.2-1.4D+0I+1.05S+NHFDir1+,209.5,100.4,0.0,0.0,0.0,-0.1
,,,,8 Cb2.3-1.4D+0I+1.05S+NHFDir1-,195.4,100.2,0.0,0.0,0.0,-0.1
,,,,9 Cb2.4-1.4D+0I+1.05S+NHFDir2+,202.7,100.9,0.0,0.0,0.0,-0.1
,,,,10 Cb2.5-1.4D+0I+1.05S+NHFDir2-,202.2,99.6,0.0,0.0,0.0,-0.1
,,,,11 Cb3.1-1.2D+1.2I+1.2RI+1.2W,230.4,85.3,0.0,0.0,0.0,-0.1
,,,,12 Cb3.2-1.2D+1.2I+1.2RI+1.2W,230.4,85.3,0.0,0.0,0.0,-0.1
,,,,15 Cb3.5-1.2D+1.2I+1.2RI+1.2W,97.7,84.8,0.0,0.0,0.0,0.0
,,,,16 Cb3.6-1.2D+1.2I+1.2RI+1.2W,79.1,61.8,0.0,0.0,0.0,0.0
,,,,19 Cb3.9-1.2D+1.2I+1.2RI+1.2W,60.3,65.1,0.0,0.0,0.0,0.0
,,,,20 Cb3.10-1.2D+1.2I+1.2RI+1.2W,60.3,65.1,0.0,0.0,0.0,0.0
,,,,23 Cb3.13-1.2D+1.2I+1.2RI+1.2W,115.2,28.6,0.0,0.0,0.0,0.0
,,,,24 Cb3.14-1.2D+1.2I+1.2RI+1.2W,33.9,5.9,0.0,0.0,0.0,0.0
,,,,27 Cb5.1-D+1.4W,159.6,42.9,0.0,0.0,0.0,0.0
,,,,28 Cb5.2-D+1.4W,159.6,42.9,0.0,0.0,0.0,0.0
,,,,31 Cb5.5-D+1.4W,4.7,42.3,0.0,0.0,0.0,0.0
,,,,32 Cb5.6-D+1.4W,-17.0,15.5,0.0,0.0,0.0,0.0
,,,,35 Cb5.9-D+1.4W,-38.9,19.2,0.0,0.0,0.0,0.0
,,,,36 Cb5.10-D+1.4W,-38.9,19.2,0.0,0.0,0.0,0.0
,,,,39 Cb5.13-D+1.4W,25.1,-23.3,-0.1,0.0,0.0,0.0
,,,,40 Cb5.14-D+1.4W,-69.7,-49.8,-0.1,0.0,0.0,0.0
SUP C/1,0.0000,Span 1 Lh Column (UB 610x229x125),-90.0000,1 Cb1-1.4D+1.6I+1.6RI,189.5,92.1,0.0,0.0,0.0,0.0
,,,,2 Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,189.5,92.1,0.0,0.0,0.0,0.0
,,,,3 Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,189.5,92.1,0.0,0.0,0.0,0.0
,,,,4 Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,189.1,91.2,0.0,0.0,0.0,0.0
,,,,5 Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,190.0,93.0,0.0,0.0,0.0,0.0
,,,,6 Cb2.1-1.4D+0I+1.05S,200.0,97.7,0.0,0.0,0.0,0.0
,,,,7 Cb2.2-1.4D+0I+1.05S+NHFDir1+,200.0,97.7,0.0,0.0,0.0,0.0
,,,,8 Cb2.3-1.4D+0I+1.05S+NHFDir1-,200.0,97.7,0.0,0.0,0.0,0.0
,,,,9 Cb2.4-1.4D+0I+1.05S+NHFDir2+,199.5,96.7,0.0,0.0,0.0,0.0
,,,,10 Cb2.5-1.4D+0I+1.05S+NHFDir2-,200.5,98.6,0.0,0.0,0.0,0.0
,,,,11 Cb3.1-1.2D+1.2I+1.2RI+1.2W,118.7,74.1,0.0,0.0,0.0,0.0
,,,,12 Cb3.2-1.2D+1.2I+1.2RI+1.2W,118.7,74.1,0.0,0.0,0.0,0.0
,,,,15 Cb3.5-1.2D+1.2I+1.2RI+1.2W,165.8,24.8,0.0,0.0,0.0,0.0
,,,,16 Cb3.6-1.2D+1.2I+1.2RI+1.2W,96.2,10.6,0.0,0.0,0.0,0.0
,,,,19 Cb3.9-1.2D+1.2I+1.2RI+1.2W,124.5,67.8,0.0,0.0,0.0,0.0
,,,,20 Cb3.10-1.2D+1.2I+1.2RI+1.2W,124.5,67.8,0.0,0.0,0.0,0.0
,,,,23 Cb3.13-1.2D+1.2I+1.2RI+1.2W,155.3,109.4,0.0,0.0,0.0,0.0
,,,,24 Cb3.14-1.2D+1.2I+1.2RI+1.2W,128.7,78.3,0.0,0.0,0.0,0.0
,,,,27 Cb5.1-D+1.4W,28.7,30.5,0.0,0.0,0.0,0.0
,,,,28 Cb5.2-D+1.4W,28.7,30.5,0.0,0.0,0.0,0.0
,,,,31 Cb5.5-D+1.4W,83.7,-27.1,0.0,0.0,0.0,0.0
,,,,32 Cb5.6-D+1.4W,2.4,-43.6,0.0,0.0,0.0,0.0
,,,,35 Cb5.9-D+1.4W,35.4,23.2,0.0,0.0,0.0,0.0
,,,,36 Cb5.10-D+1.4W,35.4,23.2,0.0,0.0,0.0,0.0
,,,,39 Cb5.13-D+1.4W,71.4,71.7,0.0,0.0,0.0,0.0
,,,,40 Cb5.14-D+1.4W,40.3,35.4,0.0,0.0,0.0,0.0
SUP C/6,180.0000,Span 1 Rh Column (UB 610x229x125),90.0000,1 Cb1-1.4D+1.6I+1.6RI,189.5,92.1,0.0,0.0,0.0,0.0
,,,,2 Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,189.5,92.1,0.0,0.0,0.0,0.0
