Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Strength Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,45 Cb3.2-1.2D+1.2I+1.2RI+1.2W,57.6,8.4,0.0,-4.1,0.0,0.0
,,,,46 Cb3.3-1.2D+1.2I+1.2RI+1.2W,57.6,8.4,0.0,-4.1,0.0,0.0
,,,,47 Cb3.4-1.2D+1.2I+1.2RI+1.2W,57.6,8.4,0.0,-4.1,0.0,0.0
,,,,48 Cb3.5-1.2D+1.2I+1.2RI+1.2W,57.6,8.4,0.0,-4.1,0.0,0.0
,,,,49 Cb3.6-1.2D+1.2I+1.2RI+1.2W,57.6,8.4,0.0,-4.1,0.0,0.0
,,,,50 Cb3.7-1.2D+1.2I+1.2RI+1.2W,57.6,8.4,0.0,-4.1,0.0,0.0
,,,,51 Cb3.8-1.2D+1.2I+1.2RI+1.2W,57.6,8.4,0.0,-4.1,0.0,0.0
,,,,52 Cb3.9-1.2D+1.2I+1.2RI+1.2W,57.6,8.4,0.0,-4.1,0.0,0.0
,,,,53 Cb3.10-1.2D+1.2I+1.2RI+1.2W,57.6,8.4,0.0,-4.1,0.0,0.0
,,,,54 Cb3.11-1.2D+1.2I+1.2RI+1.2W,57.6,8.4,0.0,-4.1,0.0,0.0
,,,,55 Cb3.12-1.2D+1.2I+1.2RI+1.2W,57.6,8.4,0.0,-4.1,0.0,0.0
,,,,56 Cb3.13-1.2D+1.2I+1.2RI+1.2W,57.6,8.4,0.0,-4.1,0.0,0.0
,,,,57 Cb3.14-1.2D+1.2I+1.2RI+1.2W,57.6,8.4,0.0,-4.1,0.0,0.0
,,,,58 Cb3.15-1.2D+1.2I+1.2RI+1.2W,57.6,8.4,0.0,-4.1,0.0,0.0
,,,,59 Cb3.16-1.2D+1.2I+1.2RI+1.2W,57.6,8.4,0.0,-4.1,0.0,0.0
,,,,60 Cb5.1-D+1.4W,29.6,3.3,0.0,-1.6,0.0,0.0
,,,,61 Cb5.2-D+1.4W,29.6,3.3,0.0,-1.6,0.0,0.0
,,,,62 Cb5.3-D+1.4W,29.6,3.3,0.0,-1.6,0.0,0.0
,,,,63 Cb5.4-D+1.4W,29.6,3.3,0.0,-1.6,0.0,0.0
,,,,64 Cb5.5-D+1.4W,29.6,3.3,0.0,-1.6,0.0,0.0
,,,,65 Cb5.6-D+1.4W,29.6,3.3,0.0,-1.6,0.0,0.0
,,,,66 Cb5.7-D+1.4W,29.6,3.3,0.0,-1.6,0.0,0.0
,,,,67 Cb5.8-D+1.4W,29.6,3.3,0.0,-1.6,0.0,0.0
,,,,68 Cb5.9-D+1.4W,29.6,3.3,0.0,-1.6,0.0,0.0
,,,,69 Cb5.10-D+1.4W,29.6,3.3,0.0,-1.6,0.0,0.0
,,,,70 Cb5.11-D+1.4W,29.6,3.3,0.0,-1.6,0.0,0.0
,,,,71 Cb5.12-D+1.4W,29.6,3.3,0.0,-1.6,0.0,0.0
,,,,72 Cb5.13-D+1.4W,29.6,3.3,0.0,-1.6,0.0,0.0
,,,,73 Cb5.14-D+1.4W,29.6,3.3,0.0,-1.6,0.0,0.0
,,,,74 Cb5.15-D+1.4W,29.6,3.3,0.0,-1.6,0.0,0.0
,,,,75 Cb5.16-D+1.4W,29.6,3.3,0.0,-1.6,0.0,0.0
,,,,76 (Final) Cb1-1.4D+1.6I+1.6RI,57.6,8.4,0.0,-4.1,0.0,0.0
,,,,77 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,58.0,8.7,0.0,-4.4,0.0,0.0
,,,,78 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,57.2,8.1,0.0,-3.7,0.0,0.0
,,,,79 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,58.7,8.4,0.0,-4.1,0.0,0.0
,,,,80 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,56.5,8.4,0.0,-4.1,0.0,0.0
,,,,81 (Final) Cb3.1-1.2D+1.2I+1.2RI+1.2W,79.0,21.4,-6.0,-14.8,0.0,0.0
,,,,82 (Final) Cb3.2-1.2D+1.2I+1.2RI+1.2W,60.1,16.0,-6.0,-10.7,0.0,0.0
,,,,83 (Final) Cb3.3-1.2D+1.2I+1.2RI+1.2W,74.9,26.4,-12.0,-13.0,0.0,0.0
,,,,84 (Final) Cb3.4-1.2D+1.2I+1.2RI+1.2W,56.0,21.0,-12.0,-8.9,0.0,0.0
,,,,85 (Final) Cb3.5-1.2D+1.2I+1.2RI+1.2W,88.6,23.4,-2.4,-9.8,0.0,0.0
,,,,86 (Final) Cb3.6-1.2D+1.2I+1.2RI+1.2W,63.9,16.8,-2.4,-4.9,0.0,0.0
,,,,87 (Final) Cb3.7-1.2D+1.2I+1.2RI+1.2W,84.7,28.5,-8.5,-8.0,0.0,0.0
,,,,88 (Final) Cb3.8-1.2D+1.2I+1.2RI+1.2W,60.0,22.0,-8.5,-3.1,0.0,0.0
,,,,89 (Final) Cb3.9-1.2D+1.2I+1.2RI+1.2W,28.4,-15.6,-7.7,7.1,0.0,0.0
,,,,90 (Final) Cb3.10-1.2D+1.2I+1.2RI+1.2W,28.4,-15.6,-7.7,7.1,0.0,0.0
,,,,91 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,25.7,-12.3,-11.7,8.4,0.0,0.0
,,,,92 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,25.7,-12.3,-11.7,8.4,0.0,0.0
,,,,93 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,25.6,18.4,9.1,-5.5,0.0,0.0
,,,,94 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,3.7,13.0,9.1,-1.6,0.0,0.0
,,,,95 (Final) Cb3.15-1.2D+1.2I+1.2RI+1.2W,22.9,21.7,5.2,-4.3,0.0,0.0
,,,,96 (Final) Cb3.16-1.2D+1.2I+1.2RI+1.2W,1.1,16.3,5.2,-0.4,0.0,0.0
,,,,97 (Final) Cb5.1-D+1.4W,59.2,19.6,-7.0,-14.7,0.0,0.0
,,,,98 (Final) Cb5.2-D+1.4W,37.1,13.3,-7.0,-9.9,0.0,0.0
,,,,99 (Final) Cb5.3-D+1.4W,54.5,25.4,-14.1,-12.5,0.0,0.0
,,,,100 (Final) Cb5.4-D+1.4W,32.4,19.1,-14.1,-7.7,0.0,0.0
,,,,101 (Final) Cb5.5-D+1.4W,70.4,21.8,-2.8,-8.8,0.0,0.0
,,,,102 (Final) Cb5.6-D+1.4W,41.6,14.2,-2.8,-3.1,0.0,0.0
,,,,103 (Final) Cb5.7-D+1.4W,65.9,27.9,-9.9,-6.8,0.0,0.0
,,,,104 (Final) Cb5.8-D+1.4W,37.0,20.2,-9.9,-1.0,0.0,0.0
,,,,105 (Final) Cb5.9-D+1.4W,0.2,-23.6,-9.0,11.0,0.0,0.0
,,,,106 (Final) Cb5.10-D+1.4W,0.2,-23.6,-9.0,11.0,0.0,0.0
,,,,107 (Final) Cb5.11-D+1.4W,-3.0,-19.8,-13.7,12.4,0.0,0.0
,,,,108 (Final) Cb5.12-D+1.4W,-3.0,-19.8,-13.7,12.4,0.0,0.0
,,,,109 (Final) Cb5.13-D+1.4W,-3.1,16.0,10.6,-3.8,0.0,0.0
,,,,110 (Final) Cb5.14-D+1.4W,-28.6,9.8,10.6,0.7,0.0,0.0
,,,,111 (Final) Cb5.15-D+1.4W,-6.2,19.9,6.0,-2.3,0.0,0.0
,,,,112 (Final) Cb5.16-D+1.4W,-31.7,13.6,6.0,2.2,0.0,0.0
,,,,,,,,,,
,,,,,,,,,,
Wall Supports,,,,,,,,,,
No results available.,,,,,,,,,,
,,,,,,,,,,
Core Supports,,,,,,,,,,
No results available.,,,,,,,,,,
,,,,,,,,,,
